,pdg,name,mass,decay_width,2*spin+1,isbaryon,strange_num,charge_num,eta
0,211,Pion(+),0.13957,0.0,1,0,0,1,-1.0
1,111,Pion(0),0.13498,0.0,1,0,0,0,-1.0
2,-211,Pion(-),0.13957,0.0,1,0,0,-1,-1.0
3,321,Kaon(+),0.49368,0.0,1,0,1,1,-1.0
4,-321,Kaon(-),0.49368,0.0,1,0,-1,-1,-1.0
5,311,Kaon(0),0.49765,0.0,1,0,1,0,-1.0
6,-311,AntiKaon(0),0.49765,0.0,1,0,-1,0,-1.0
7,221,eta,0.54775,0.0,1,0,0,0,-1.0
8,213,rho(+),0.7758,0.1503,3,0,0,1,-1.0
9,113,rho(0),0.7758,0.1503,3,0,0,0,-1.0
10,-213,rho(-),0.7758,0.1503,3,0,0,-1,-1.0
11,223,omega,0.78259,0.00849,3,0,0,0,-1.0
12,323,K*892(+),0.89166,0.0508,3,0,1,1,-1.0
13,-323,K*892(-),0.89166,0.0508,3,0,-1,-1,-1.0
14,313,K*892(0),0.8961,0.0507,3,0,1,0,-1.0
15,-313,AntiK*892(0),0.8961,0.0507,3,0,-1,0,-1.0
16,2212,p,0.93827,0.0,2,1,0,1,1.0
17,2112,n,0.93957,0.0,2,1,0,0,1.0
18,331,etaprime(958),0.95778,0.0002,1,0,0,0,-1.0
19,9010221,f0(980),0.9741,0.047,1,0,0,0,-1.0
20,9000211,a0(980)(+),0.9847,0.057,1,0,0,1,-1.0
21,9000111,a0(980)(0),0.9847,0.057,1,0,0,0,-1.0
22,-9000211,a0(980)(-),0.9847,0.057,1,0,0,-1,-1.0
23,333,phi(1020),1.01946,0.00426,3,0,0,0,-1.0
24,3122,Lambda,1.11568,0.0,2,1,-1,0,1.0
25,10223,h1(1170),1.17,0.36,3,0,0,0,-1.0
26,3222,Sigma(+),1.18937,0.0,2,1,-1,1,1.0
27,3212,Sigma(0),1.19264,0.0,2,1,-1,0,1.0
28,3112,Sigma(-),1.19745,0.0,2,1,-1,-1,1.0
29,10213,b1(1235)(+),1.2295,0.142,3,0,0,1,-1.0
30,10113,b1(1235)(0),1.2295,0.142,3,0,0,0,-1.0
31,-10213,b1(1235)(-),1.2295,0.142,3,0,0,-1,-1.0
32,20213,a1(1260)(+),1.23,0.4,3,0,0,1,-1.0
33,20113,a1(1260)(0),1.23,0.4,3,0,0,0,-1.0
34,-20213,a1(1260)(-),1.23,0.4,3,0,0,-1,-1.0
35,2224,Delta1232(++),1.232,0.12,4,1,0,2,1.0
36,2214,Delta1232(+),1.232,0.12,4,1,0,1,1.0
37,2114,Delta1232(0),1.232,0.12,4,1,0,0,1.0
38,1114,Delta1232(-),1.232,0.12,4,1,0,-1,1.0
39,10323,K11270(+),1.273,0.09,3,0,1,1,-1.0
40,-10323,K11270(-),1.273,0.09,3,0,-1,-1,-1.0
41,10313,K11270(0),1.273,0.09,3,0,1,0,-1.0
42,-10313,AntiK11270(0),1.273,0.09,3,0,-1,0,-1.0
43,225,f2(1270),1.2754,0.1851,5,0,0,0,-1.0
44,20223,f1(1285),1.2818,0.0241,3,0,0,0,-1.0
45,100221,eta(1295),1.294,0.055,1,0,0,0,-1.0
46,100211,Pion1300(+),1.3,0.4,1,0,0,1,-1.0
47,100111,Pion1300(0),1.3,0.4,1,0,0,0,-1.0
48,-100211,Pion1300(-),1.3,0.4,1,0,0,-1,-1.0
49,3322,Xsi(0),1.31483,0.0,2,1,-2,0,1.0
50,3312,Xsi(-),1.32131,0.0,2,1,-2,-1,1.0
51,215,a21320(+),1.3183,0.107,5,0,0,1,-1.0
52,115,a21320(0),1.3183,0.107,5,0,0,0,-1.0
53,-215,a21320(-),1.3183,0.107,5,0,0,-1,-1.0
54,9000213,Pion11400(+),1.376,0.3,3,0,0,1,-1.0
55,9000113,Pion11400(0),1.376,0.3,3,0,0,0,-1.0
56,-9000213,Pion11400(-),1.376,0.3,3,0,0,-1,-1.0
57,3224,Sigma(+)1385,1.3828,0.0358,4,1,-1,1,1.0
58,3214,Sigma(0)1385,1.3837,0.036,4,1,-1,0,1.0
59,3114,Sigma(-)1385,1.3872,0.0394,4,1,-1,-1,1.0
60,10221,f01370,1.4,0.225,1,0,0,0,-1.0
61,20323,K11400(+),1.402,0.174,3,0,1,1,-1.0
62,-20323,K11400(-),1.402,0.174,3,0,-1,-1,-1.0
63,20313,K11400(0),1.402,0.174,3,0,1,0,-1.0
64,-20313,AntiK11400(0),1.402,0.174,3,0,-1,0,-1.0
65,13122,Lambda1405,1.4065,0.05,2,1,-1,0,1.0
66,100323,K*1410(+),1.414,0.232,3,0,1,1,-1.0
67,-100323,K*1410(-),1.414,0.232,3,0,-1,-1,-1.0
68,100313,K*1410(0),1.414,0.232,3,0,1,0,-1.0
69,-100313,AntiK*1410(-),1.414,0.232,3,0,-1,0,-1.0
70,9020221,eta1405,1.4103,0.051,1,0,0,0,-1.0
71,10321,K0*1430(+),1.412,0.294,1,0,1,1,-1.0
72,-10321,K0*1430(-),1.412,0.294,1,0,-1,-1,-1.0
73,10311,K0*1430(0),1.412,0.294,1,0,1,0,-1.0
74,-10311,AntiK0*1430(0),1.412,0.294,1,0,-1,0,-1.0
75,100223,omega1420,1.419,0.174,3,0,0,0,-1.0
76,20333,f11420,1.4263,0.0549,3,0,0,0,-1.0
